Image Name,Number,Gender,Hand,Finger
532__M_Left_middle_finger.BMP,532,M,Left,middle
477__M_Right_ring_finger.BMP,477,M,Right,ring
154__F_Right_middle_finger.BMP,154,F,Right,middle
231__M_Right_middle_finger.BMP,231,M,Right,middle
42__F_Left_little_finger.BMP,42,F,Left,little
141__F_Right_index_finger.BMP,141,F,Right,index
335__M_Right_middle_finger.BMP,335,M,Right,middle
576__M_Left_middle_finger.BMP,576,M,Left,middle
179__M_Right_index_finger.BMP,179,M,Right,index
289__F_Left_little_finger.BMP,289,F,Left,little
306__M_Right_thumb_finger.BMP,306,M,Right,thumb
209__F_Left_middle_finger.BMP,209,F,Left,middle
104__M_Right_middle_finger.BMP,104,M,Right,middle
527__M_Right_middle_finger.BMP,527,M,Right,middle
589__M_Left_thumb_finger.BMP,589,M,Left,thumb
523__F_Right_thumb_finger.BMP,523,F,Right,thumb
94__M_Left_index_finger.BMP,94,M,Left,index
548__F_Left_little_finger.BMP,548,F,Left,little
333__M_Left_index_finger.BMP,333,M,Left,index
64__M_Right_index_finger.BMP,64,M,Right,index
175__M_Left_index_finger.BMP,175,M,Left,index
50__M_Left_ring_finger.BMP,50,M,Left,ring
94__M_Right_middle_finger.BMP,94,M,Right,middle
42__F_Right_little_finger.BMP,42,F,Right,little
233__M_Right_middle_finger.BMP,233,M,Right,middle
328__M_Left_index_finger.BMP,328,M,Left,index
359__M_Left_middle_finger.BMP,359,M,Left,middle
437__M_Left_middle_finger.BMP,437,M,Left,middle
492__F_Right_ring_finger.BMP,492,F,Right,ring
76__F_Left_ring_finger.BMP,76,F,Left,ring
162__M_Left_little_finger.BMP,162,M,Left,little
105__M_Right_thumb_finger.BMP,105,M,Right,thumb
364__M_Right_ring_finger.BMP,364,M,Right,ring
466__F_Right_little_finger.BMP,466,F,Right,little
447__M_Left_index_finger.BMP,447,M,Left,index
247__M_Left_little_finger.BMP,247,M,Left,little
60__M_Right_index_finger.BMP,60,M,Right,index
405__M_Right_index_finger.BMP,405,M,Right,index
277__M_Right_little_finger.BMP,277,M,Right,little
107__M_Right_little_finger.BMP,107,M,Right,little
220__F_Right_index_finger.BMP,220,F,Right,index
304__M_Left_little_finger.BMP,304,M,Left,little
561__M_Right_index_finger.BMP,561,M,Right,index
323__M_Left_little_finger.BMP,323,M,Left,little
66__F_Left_middle_finger.BMP,66,F,Left,middle
463__F_Left_thumb_finger.BMP,463,F,Left,thumb
534__F_Right_ring_finger.BMP,534,F,Right,ring
517__M_Right_little_finger.BMP,517,M,Right,little
272__M_Right_little_finger.BMP,272,M,Right,little
486__M_Right_middle_finger.BMP,486,M,Right,middle
591__M_Left_middle_finger.BMP,591,M,Left,middle
270__M_Right_middle_finger.BMP,270,M,Right,middle
455__M_Left_ring_finger.BMP,455,M,Left,ring
8__M_Right_index_finger.BMP,8,M,Right,index
367__M_Left_middle_finger.BMP,367,M,Left,middle
593__M_Left_thumb_finger.BMP,593,M,Left,thumb
293__F_Left_index_finger.BMP,293,F,Left,index
553__M_Right_ring_finger.BMP,553,M,Right,ring
596__M_Left_thumb_finger.BMP,596,M,Left,thumb
381__M_Right_thumb_finger.BMP,381,M,Right,thumb
503__M_Right_middle_finger.BMP,503,M,Right,middle
529__M_Right_middle_finger.BMP,529,M,Right,middle
249__M_Right_index_finger.BMP,249,M,Right,index
480__M_Left_middle_finger.BMP,480,M,Left,middle
102__M_Left_index_finger.BMP,102,M,Left,index
103__F_Left_little_finger.BMP,103,F,Left,little
285__M_Left_little_finger.BMP,285,M,Left,little
83__M_Left_middle_finger.BMP,83,M,Left,middle
271__M_Left_index_finger.BMP,271,M,Left,index
188__M_Left_thumb_finger.BMP,188,M,Left,thumb
10__M_Right_ring_finger.BMP,10,M,Right,ring
338__M_Left_little_finger.BMP,338,M,Left,little
460__M_Left_little_finger.BMP,460,M,Left,little
460__M_Left_ring_finger.BMP,460,M,Left,ring
485__M_Left_middle_finger.BMP,485,M,Left,middle
121__F_Left_middle_finger.BMP,121,F,Left,middle
63__M_Left_index_finger.BMP,63,M,Left,index
546__M_Right_little_finger.BMP,546,M,Right,little
142__F_Left_thumb_finger.BMP,142,F,Left,thumb
57__M_Left_thumb_finger.BMP,57,M,Left,thumb
55__M_Left_index_finger.BMP,55,M,Left,index
134__M_Right_ring_finger.BMP,134,M,Right,ring
430__F_Left_little_finger.BMP,430,F,Left,little
6__M_Left_little_finger.BMP,6,M,Left,little
505__M_Right_little_finger.BMP,505,M,Right,little
207__M_Right_middle_finger.BMP,207,M,Right,middle
388__F_Right_ring_finger.BMP,388,F,Right,ring
156__F_Right_index_finger.BMP,156,F,Right,index
75__F_Left_index_finger.BMP,75,F,Left,index
453__F_Left_thumb_finger.BMP,453,F,Left,thumb
468__F_Right_ring_finger.BMP,468,F,Right,ring
147__M_Left_middle_finger.BMP,147,M,Left,middle
447__M_Right_middle_finger.BMP,447,M,Right,middle
20__M_Left_little_finger.BMP,20,M,Left,little
341__M_Left_index_finger.BMP,341,M,Left,index
427__M_Left_ring_finger.BMP,427,M,Left,ring
378__F_Right_thumb_finger.BMP,378,F,Right,thumb
81__F_Left_middle_finger.BMP,81,F,Left,middle
162__M_Left_index_finger.BMP,162,M,Left,index
519__M_Left_middle_finger.BMP,519,M,Left,middle
444__M_Left_little_finger.BMP,444,M,Left,little
63__M_Right_middle_finger.BMP,63,M,Right,middle
534__F_Right_thumb_finger.BMP,534,F,Right,thumb
415__M_Left_little_finger.BMP,415,M,Left,little
363__M_Left_ring_finger.BMP,363,M,Left,ring
412__M_Left_middle_finger.BMP,412,M,Left,middle
341__M_Right_little_finger.BMP,341,M,Right,little
339__M_Left_index_finger.BMP,339,M,Left,index
65__M_Left_thumb_finger.BMP,65,M,Left,thumb
279__M_Left_little_finger.BMP,279,M,Left,little
544__M_Left_ring_finger.BMP,544,M,Left,ring
179__M_Left_middle_finger.BMP,179,M,Left,middle
107__M_Right_thumb_finger.BMP,107,M,Right,thumb
416__M_Right_middle_finger.BMP,416,M,Right,middle
460__M_Left_thumb_finger.BMP,460,M,Left,thumb
13__F_Right_middle_finger.BMP,13,F,Right,middle
292__M_Left_thumb_finger.BMP,292,M,Left,thumb
389__F_Left_little_finger.BMP,389,F,Left,little
413__M_Right_ring_finger.BMP,413,M,Right,ring
482__M_Left_index_finger.BMP,482,M,Left,index
320__M_Left_ring_finger.BMP,320,M,Left,ring
124__M_Left_middle_finger.BMP,124,M,Left,middle
277__M_Right_thumb_finger.BMP,277,M,Right,thumb
554__M_Left_middle_finger.BMP,554,M,Left,middle
558__M_Right_index_finger.BMP,558,M,Right,index
596__M_Right_middle_finger.BMP,596,M,Right,middle
331__M_Left_middle_finger.BMP,331,M,Left,middle
14__M_Left_middle_finger.BMP,14,M,Left,middle
349__M_Right_little_finger.BMP,349,M,Right,little
258__M_Right_thumb_finger.BMP,258,M,Right,thumb
285__M_Left_ring_finger.BMP,285,M,Left,ring
380__M_Right_middle_finger.BMP,380,M,Right,middle
572__F_Left_index_finger.BMP,572,F,Left,index
222__M_Left_index_finger.BMP,222,M,Left,index
52__M_Right_ring_finger.BMP,52,M,Right,ring
599__M_Right_index_finger.BMP,599,M,Right,index
7__M_Right_index_finger.BMP,7,M,Right,index
156__F_Right_thumb_finger.BMP,156,F,Right,thumb
378__F_Right_little_finger.BMP,378,F,Right,little
522__M_Left_middle_finger.BMP,522,M,Left,middle
559__M_Left_index_finger.BMP,559,M,Left,index
172__M_Right_middle_finger.BMP,172,M,Right,middle
287__M_Left_thumb_finger.BMP,287,M,Left,thumb
438__M_Right_thumb_finger.BMP,438,M,Right,thumb
210__M_Left_middle_finger.BMP,210,M,Left,middle
68__M_Left_middle_finger.BMP,68,M,Left,middle
369__F_Right_index_finger.BMP,369,F,Right,index
122__M_Right_thumb_finger.BMP,122,M,Right,thumb
13__F_Right_index_finger.BMP,13,F,Right,index
265__M_Left_index_finger.BMP,265,M,Left,index
309__M_Left_middle_finger.BMP,309,M,Left,middle
408__M_Left_middle_finger.BMP,408,M,Left,middle
492__F_Left_middle_finger.BMP,492,F,Left,middle
318__F_Left_ring_finger.BMP,318,F,Left,ring
122__M_Right_ring_finger.BMP,122,M,Right,ring
57__M_Left_ring_finger.BMP,57,M,Left,ring
343__M_Left_thumb_finger.BMP,343,M,Left,thumb
55__M_Left_middle_finger.BMP,55,M,Left,middle
87__M_Right_little_finger.BMP,87,M,Right,little
454__M_Right_index_finger.BMP,454,M,Right,index
140__F_Right_thumb_finger.BMP,140,F,Right,thumb
573__F_Right_little_finger.BMP,573,F,Right,little
241__M_Right_middle_finger.BMP,241,M,Right,middle
399__M_Left_ring_finger.BMP,399,M,Left,ring
206__M_Left_middle_finger.BMP,206,M,Left,middle
478__M_Right_thumb_finger.BMP,478,M,Right,thumb
73__M_Left_index_finger.BMP,73,M,Left,index
384__F_Left_middle_finger.BMP,384,F,Left,middle
289__F_Left_middle_finger.BMP,289,F,Left,middle
