Image_Name,Number,Gender,Hand,Finger,Alteration,Difficulty
101__M_Left_middle_finger_CR.BMP,101,M,Left,middle,CR,Easy
101__M_Left_middle_finger_Obl.BMP,101,M,Left,middle,Obl,Easy
101__M_Left_middle_finger_Zcut.BMP,101,M,Left,middle,Zcut,Easy
101__M_Left_ring_finger_CR.BMP,101,M,Left,ring,CR,Easy
101__M_Left_ring_finger_Obl.BMP,101,M,Left,ring,Obl,Easy
101__M_Left_ring_finger_Zcut.BMP,101,M,Left,ring,Zcut,Easy
101__M_Left_thumb_finger_CR.BMP,101,M,Left,thumb,CR,Easy
101__M_Left_thumb_finger_Obl.BMP,101,M,Left,thumb,Obl,Easy
101__M_Left_thumb_finger_Zcut.BMP,101,M,Left,thumb,Zcut,Easy
101__M_Right_index_finger_CR.BMP,101,M,Right,index,CR,Easy
101__M_Right_index_finger_Obl.BMP,101,M,Right,index,Obl,Easy
101__M_Right_index_finger_Zcut.BMP,101,M,Right,index,Zcut,Easy
101__M_Right_little_finger_CR.BMP,101,M,Right,little,CR,Easy
101__M_Right_little_finger_Obl.BMP,101,M,Right,little,Obl,Easy
101__M_Right_little_finger_Zcut.BMP,101,M,Right,little,Zcut,Easy
101__M_Right_middle_finger_CR.BMP,101,M,Right,middle,CR,Easy
101__M_Right_middle_finger_Obl.BMP,101,M,Right,middle,Obl,Easy
101__M_Right_middle_finger_Zcut.BMP,101,M,Right,middle,Zcut,Easy
101__M_Right_ring_finger_CR.BMP,101,M,Right,ring,CR,Easy
101__M_Right_ring_finger_Obl.BMP,101,M,Right,ring,Obl,Easy
101__M_Right_ring_finger_Zcut.BMP,101,M,Right,ring,Zcut,Easy
101__M_Right_thumb_finger_CR.BMP,101,M,Right,thumb,CR,Easy
101__M_Right_thumb_finger_Obl.BMP,101,M,Right,thumb,Obl,Easy
101__M_Right_thumb_finger_Zcut.BMP,101,M,Right,thumb,Zcut,Easy
102__M_Left_index_finger_CR.BMP,102,M,Left,index,CR,Easy
102__M_Left_index_finger_Obl.BMP,102,M,Left,index,Obl,Easy
102__M_Left_index_finger_Zcut.BMP,102,M,Left,index,Zcut,Easy
102__M_Left_little_finger_CR.BMP,102,M,Left,little,CR,Easy
102__M_Left_little_finger_Obl.BMP,102,M,Left,little,Obl,Easy
102__M_Left_little_finger_Zcut.BMP,102,M,Left,little,Zcut,Easy
102__M_Left_middle_finger_CR.BMP,102,M,Left,middle,CR,Easy
102__M_Left_middle_finger_Obl.BMP,102,M,Left,middle,Obl,Easy
102__M_Left_middle_finger_Zcut.BMP,102,M,Left,middle,Zcut,Easy
102__M_Left_ring_finger_CR.BMP,102,M,Left,ring,CR,Easy
102__M_Left_ring_finger_Obl.BMP,102,M,Left,ring,Obl,Easy
102__M_Left_ring_finger_Zcut.BMP,102,M,Left,ring,Zcut,Easy
102__M_Left_thumb_finger_CR.BMP,102,M,Left,thumb,CR,Easy
102__M_Left_thumb_finger_Obl.BMP,102,M,Left,thumb,Obl,Easy
102__M_Left_thumb_finger_Zcut.BMP,102,M,Left,thumb,Zcut,Easy
102__M_Right_index_finger_CR.BMP,102,M,Right,index,CR,Easy
102__M_Right_index_finger_Obl.BMP,102,M,Right,index,Obl,Easy
102__M_Right_index_finger_Zcut.BMP,102,M,Right,index,Zcut,Easy
102__M_Right_little_finger_CR.BMP,102,M,Right,little,CR,Easy
102__M_Right_little_finger_Obl.BMP,102,M,Right,little,Obl,Easy
102__M_Right_little_finger_Zcut.BMP,102,M,Right,little,Zcut,Easy
102__M_Right_middle_finger_CR.BMP,102,M,Right,middle,CR,Easy
102__M_Right_middle_finger_Obl.BMP,102,M,Right,middle,Obl,Easy
102__M_Right_middle_finger_Zcut.BMP,102,M,Right,middle,Zcut,Easy
102__M_Right_ring_finger_CR.BMP,102,M,Right,ring,CR,Easy
102__M_Right_ring_finger_Obl.BMP,102,M,Right,ring,Obl,Easy
102__M_Right_ring_finger_Zcut.BMP,102,M,Right,ring,Zcut,Easy
102__M_Right_thumb_finger_CR.BMP,102,M,Right,thumb,CR,Easy
102__M_Right_thumb_finger_Obl.BMP,102,M,Right,thumb,Obl,Easy
102__M_Right_thumb_finger_Zcut.BMP,102,M,Right,thumb,Zcut,Easy
103__F_Left_little_finger_CR.BMP,103,F,Left,little,CR,Easy
103__F_Left_little_finger_Obl.BMP,103,F,Left,little,Obl,Easy
103__F_Left_little_finger_Zcut.BMP,103,F,Left,little,Zcut,Easy
103__F_Left_thumb_finger_CR.BMP,103,F,Left,thumb,CR,Easy
103__F_Left_thumb_finger_Obl.BMP,103,F,Left,thumb,Obl,Easy
103__F_Left_thumb_finger_Zcut.BMP,103,F,Left,thumb,Zcut,Easy
103__F_Right_index_finger_CR.BMP,103,F,Right,index,CR,Easy
103__F_Right_index_finger_Obl.BMP,103,F,Right,index,Obl,Easy
103__F_Right_index_finger_Zcut.BMP,103,F,Right,index,Zcut,Easy
103__F_Right_middle_finger_CR.BMP,103,F,Right,middle,CR,Easy
103__F_Right_middle_finger_Obl.BMP,103,F,Right,middle,Obl,Easy
103__F_Right_middle_finger_Zcut.BMP,103,F,Right,middle,Zcut,Easy
103__F_Right_thumb_finger_CR.BMP,103,F,Right,thumb,CR,Easy
103__F_Right_thumb_finger_Obl.BMP,103,F,Right,thumb,Obl,Easy
103__F_Right_thumb_finger_Zcut.BMP,103,F,Right,thumb,Zcut,Easy
104__M_Left_index_finger_CR.BMP,104,M,Left,index,CR,Easy
104__M_Left_index_finger_Obl.BMP,104,M,Left,index,Obl,Easy
104__M_Left_index_finger_Zcut.BMP,104,M,Left,index,Zcut,Easy
104__M_Left_little_finger_CR.BMP,104,M,Left,little,CR,Easy
104__M_Left_little_finger_Obl.BMP,104,M,Left,little,Obl,Easy
104__M_Left_little_finger_Zcut.BMP,104,M,Left,little,Zcut,Easy
104__M_Left_middle_finger_CR.BMP,104,M,Left,middle,CR,Easy
104__M_Left_middle_finger_Obl.BMP,104,M,Left,middle,Obl,Easy
104__M_Left_middle_finger_Zcut.BMP,104,M,Left,middle,Zcut,Easy
104__M_Right_middle_finger_CR.BMP,104,M,Right,middle,CR,Easy
104__M_Right_middle_finger_Obl.BMP,104,M,Right,middle,Obl,Easy
104__M_Right_middle_finger_Zcut.BMP,104,M,Right,middle,Zcut,Easy
104__M_Right_ring_finger_CR.BMP,104,M,Right,ring,CR,Easy
104__M_Right_ring_finger_Obl.BMP,104,M,Right,ring,Obl,Easy
104__M_Right_ring_finger_Zcut.BMP,104,M,Right,ring,Zcut,Easy
104__M_Right_thumb_finger_CR.BMP,104,M,Right,thumb,CR,Easy
104__M_Right_thumb_finger_Obl.BMP,104,M,Right,thumb,Obl,Easy
104__M_Right_thumb_finger_Zcut.BMP,104,M,Right,thumb,Zcut,Easy
105__M_Left_little_finger_CR.BMP,105,M,Left,little,CR,Easy
105__M_Left_little_finger_Obl.BMP,105,M,Left,little,Obl,Easy
105__M_Left_little_finger_Zcut.BMP,105,M,Left,little,Zcut,Easy
105__M_Left_ring_finger_CR.BMP,105,M,Left,ring,CR,Easy
105__M_Left_ring_finger_Obl.BMP,105,M,Left,ring,Obl,Easy
105__M_Left_ring_finger_Zcut.BMP,105,M,Left,ring,Zcut,Easy
105__M_Right_little_finger_CR.BMP,105,M,Right,little,CR,Easy
105__M_Right_little_finger_Obl.BMP,105,M,Right,little,Obl,Easy
105__M_Right_little_finger_Zcut.BMP,105,M,Right,little,Zcut,Easy
105__M_Right_middle_finger_CR.BMP,105,M,Right,middle,CR,Easy
105__M_Right_middle_finger_Obl.BMP,105,M,Right,middle,Obl,Easy
105__M_Right_middle_finger_Zcut.BMP,105,M,Right,middle,Zcut,Easy
105__M_Right_thumb_finger_CR.BMP,105,M,Right,thumb,CR,Easy
105__M_Right_thumb_finger_Obl.BMP,105,M,Right,thumb,Obl,Easy
105__M_Right_thumb_finger_Zcut.BMP,105,M,Right,thumb,Zcut,Easy
106__M_Left_index_finger_CR.BMP,106,M,Left,index,CR,Easy
106__M_Left_index_finger_Obl.BMP,106,M,Left,index,Obl,Easy
106__M_Left_index_finger_Zcut.BMP,106,M,Left,index,Zcut,Easy
106__M_Left_little_finger_CR.BMP,106,M,Left,little,CR,Easy
106__M_Left_little_finger_Obl.BMP,106,M,Left,little,Obl,Easy
106__M_Left_little_finger_Zcut.BMP,106,M,Left,little,Zcut,Easy
106__M_Left_middle_finger_CR.BMP,106,M,Left,middle,CR,Easy
106__M_Left_middle_finger_Obl.BMP,106,M,Left,middle,Obl,Easy
106__M_Left_middle_finger_Zcut.BMP,106,M,Left,middle,Zcut,Easy
106__M_Left_thumb_finger_CR.BMP,106,M,Left,thumb,CR,Easy
106__M_Left_thumb_finger_Obl.BMP,106,M,Left,thumb,Obl,Easy
106__M_Left_thumb_finger_Zcut.BMP,106,M,Left,thumb,Zcut,Easy
106__M_Right_index_finger_CR.BMP,106,M,Right,index,CR,Easy
106__M_Right_index_finger_Obl.BMP,106,M,Right,index,Obl,Easy
106__M_Right_index_finger_Zcut.BMP,106,M,Right,index,Zcut,Easy
106__M_Right_middle_finger_CR.BMP,106,M,Right,middle,CR,Easy
106__M_Right_middle_finger_Obl.BMP,106,M,Right,middle,Obl,Easy
106__M_Right_middle_finger_Zcut.BMP,106,M,Right,middle,Zcut,Easy
106__M_Right_ring_finger_CR.BMP,106,M,Right,ring,CR,Easy
106__M_Right_ring_finger_Obl.BMP,106,M,Right,ring,Obl,Easy
106__M_Right_ring_finger_Zcut.BMP,106,M,Right,ring,Zcut,Easy
106__M_Right_thumb_finger_CR.BMP,106,M,Right,thumb,CR,Easy
106__M_Right_thumb_finger_Obl.BMP,106,M,Right,thumb,Obl,Easy
106__M_Right_thumb_finger_Zcut.BMP,106,M,Right,thumb,Zcut,Easy
107__M_Left_index_finger_CR.BMP,107,M,Left,index,CR,Easy
107__M_Left_index_finger_Obl.BMP,107,M,Left,index,Obl,Easy
107__M_Left_index_finger_Zcut.BMP,107,M,Left,index,Zcut,Easy
107__M_Left_little_finger_CR.BMP,107,M,Left,little,CR,Easy
107__M_Left_little_finger_Obl.BMP,107,M,Left,little,Obl,Easy
107__M_Left_little_finger_Zcut.BMP,107,M,Left,little,Zcut,Easy
107__M_Left_middle_finger_CR.BMP,107,M,Left,middle,CR,Easy
107__M_Left_middle_finger_Obl.BMP,107,M,Left,middle,Obl,Easy
107__M_Left_middle_finger_Zcut.BMP,107,M,Left,middle,Zcut,Easy
107__M_Left_ring_finger_CR.BMP,107,M,Left,ring,CR,Easy
107__M_Left_ring_finger_Obl.BMP,107,M,Left,ring,Obl,Easy
107__M_Left_ring_finger_Zcut.BMP,107,M,Left,ring,Zcut,Easy
107__M_Left_thumb_finger_CR.BMP,107,M,Left,thumb,CR,Easy
107__M_Left_thumb_finger_Obl.BMP,107,M,Left,thumb,Obl,Easy
107__M_Left_thumb_finger_Zcut.BMP,107,M,Left,thumb,Zcut,Easy
107__M_Right_index_finger_CR.BMP,107,M,Right,index,CR,Easy
107__M_Right_index_finger_Obl.BMP,107,M,Right,index,Obl,Easy
107__M_Right_index_finger_Zcut.BMP,107,M,Right,index,Zcut,Easy
107__M_Right_little_finger_CR.BMP,107,M,Right,little,CR,Easy
107__M_Right_little_finger_Obl.BMP,107,M,Right,little,Obl,Easy
107__M_Right_little_finger_Zcut.BMP,107,M,Right,little,Zcut,Easy
107__M_Right_middle_finger_CR.BMP,107,M,Right,middle,CR,Easy
107__M_Right_middle_finger_Obl.BMP,107,M,Right,middle,Obl,Easy
107__M_Right_middle_finger_Zcut.BMP,107,M,Right,middle,Zcut,Easy
107__M_Right_ring_finger_CR.BMP,107,M,Right,ring,CR,Easy
107__M_Right_ring_finger_Obl.BMP,107,M,Right,ring,Obl,Easy
107__M_Right_ring_finger_Zcut.BMP,107,M,Right,ring,Zcut,Easy
107__M_Right_thumb_finger_CR.BMP,107,M,Right,thumb,CR,Easy
107__M_Right_thumb_finger_Obl.BMP,107,M,Right,thumb,Obl,Easy
107__M_Right_thumb_finger_Zcut.BMP,107,M,Right,thumb,Zcut,Easy
108__M_Left_index_finger_CR.BMP,108,M,Left,index,CR,Easy
108__M_Left_index_finger_Obl.BMP,108,M,Left,index,Obl,Easy
108__M_Left_index_finger_Zcut.BMP,108,M,Left,index,Zcut,Easy
108__M_Left_middle_finger_CR.BMP,108,M,Left,middle,CR,Easy
108__M_Left_middle_finger_Obl.BMP,108,M,Left,middle,Obl,Easy
108__M_Left_middle_finger_Zcut.BMP,108,M,Left,middle,Zcut,Easy
108__M_Left_ring_finger_CR.BMP,108,M,Left,ring,CR,Easy
108__M_Left_ring_finger_Obl.BMP,108,M,Left,ring,Obl,Easy
108__M_Left_ring_finger_Zcut.BMP,108,M,Left,ring,Zcut,Easy
108__M_Left_thumb_finger_CR.BMP,108,M,Left,thumb,CR,Easy
108__M_Left_thumb_finger_Obl.BMP,108,M,Left,thumb,Obl,Easy
108__M_Left_thumb_finger_Zcut.BMP,108,M,Left,thumb,Zcut,Easy
108__M_Right_index_finger_CR.BMP,108,M,Right,index,CR,Easy
108__M_Right_index_finger_Obl.BMP,108,M,Right,index,Obl,Easy
108__M_Right_index_finger_Zcut.BMP,108,M,Right,index,Zcut,Easy
108__M_Right_little_finger_CR.BMP,108,M,Right,little,CR,Easy
108__M_Right_little_finger_Obl.BMP,108,M,Right,little,Obl,Easy
108__M_Right_little_finger_Zcut.BMP,108,M,Right,little,Zcut,Easy
108__M_Right_ring_finger_CR.BMP,108,M,Right,ring,CR,Easy
108__M_Right_ring_finger_Obl.BMP,108,M,Right,ring,Obl,Easy
108__M_Right_ring_finger_Zcut.BMP,108,M,Right,ring,Zcut,Easy
109__F_Left_index_finger_CR.BMP,109,F,Left,index,CR,Easy
109__F_Left_index_finger_Obl.BMP,109,F,Left,index,Obl,Easy
109__F_Left_index_finger_Zcut.BMP,109,F,Left,index,Zcut,Easy
109__F_Left_little_finger_CR.BMP,109,F,Left,little,CR,Easy
109__F_Left_little_finger_Obl.BMP,109,F,Left,little,Obl,Easy
109__F_Left_little_finger_Zcut.BMP,109,F,Left,little,Zcut,Easy
109__F_Left_middle_finger_CR.BMP,109,F,Left,middle,CR,Easy
109__F_Left_middle_finger_Obl.BMP,109,F,Left,middle,Obl,Easy
109__F_Left_middle_finger_Zcut.BMP,109,F,Left,middle,Zcut,Easy
109__F_Left_ring_finger_CR.BMP,109,F,Left,ring,CR,Easy
109__F_Left_ring_finger_Obl.BMP,109,F,Left,ring,Obl,Easy
109__F_Left_ring_finger_Zcut.BMP,109,F,Left,ring,Zcut,Easy
109__F_Left_thumb_finger_CR.BMP,109,F,Left,thumb,CR,Easy
109__F_Left_thumb_finger_Obl.BMP,109,F,Left,thumb,Obl,Easy
109__F_Left_thumb_finger_Zcut.BMP,109,F,Left,thumb,Zcut,Easy
109__F_Right_little_finger_CR.BMP,109,F,Right,little,CR,Easy
109__F_Right_little_finger_Obl.BMP,109,F,Right,little,Obl,Easy
109__F_Right_little_finger_Zcut.BMP,109,F,Right,little,Zcut,Easy
109__F_Right_ring_finger_CR.BMP,109,F,Right,ring,CR,Easy
109__F_Right_ring_finger_Obl.BMP,109,F,Right,ring,Obl,Easy
109__F_Right_ring_finger_Zcut.BMP,109,F,Right,ring,Zcut,Easy
109__F_Right_thumb_finger_CR.BMP,109,F,Right,thumb,CR,Easy
109__F_Right_thumb_finger_Obl.BMP,109,F,Right,thumb,Obl,Easy
109__F_Right_thumb_finger_Zcut.BMP,109,F,Right,thumb,Zcut,Easy
10__M_Left_index_finger_CR.BMP,10,M,Left,index,CR,Easy
10__M_Left_index_finger_Obl.BMP,10,M,Left,index,Obl,Easy
10__M_Left_index_finger_Zcut.BMP,10,M,Left,index,Zcut,Easy
10__M_Left_little_finger_CR.BMP,10,M,Left,little,CR,Easy
10__M_Left_little_finger_Obl.BMP,10,M,Left,little,Obl,Easy
10__M_Left_little_finger_Zcut.BMP,10,M,Left,little,Zcut,Easy
10__M_Left_ring_finger_CR.BMP,10,M,Left,ring,CR,Easy
10__M_Left_ring_finger_Obl.BMP,10,M,Left,ring,Obl,Easy
10__M_Left_ring_finger_Zcut.BMP,10,M,Left,ring,Zcut,Easy
10__M_Left_thumb_finger_CR.BMP,10,M,Left,thumb,CR,Easy
10__M_Left_thumb_finger_Obl.BMP,10,M,Left,thumb,Obl,Easy
10__M_Left_thumb_finger_Zcut.BMP,10,M,Left,thumb,Zcut,Easy
10__M_Right_little_finger_CR.BMP,10,M,Right,little,CR,Easy
10__M_Right_little_finger_Obl.BMP,10,M,Right,little,Obl,Easy
10__M_Right_little_finger_Zcut.BMP,10,M,Right,little,Zcut,Easy
10__M_Right_middle_finger_CR.BMP,10,M,Right,middle,CR,Easy
10__M_Right_middle_finger_Obl.BMP,10,M,Right,middle,Obl,Easy
10__M_Right_middle_finger_Zcut.BMP,10,M,Right,middle,Zcut,Easy
10__M_Right_ring_finger_CR.BMP,10,M,Right,ring,CR,Easy
10__M_Right_ring_finger_Obl.BMP,10,M,Right,ring,Obl,Easy
10__M_Right_ring_finger_Zcut.BMP,10,M,Right,ring,Zcut,Easy
10__M_Right_thumb_finger_CR.BMP,10,M,Right,thumb,CR,Easy
10__M_Right_thumb_finger_Obl.BMP,10,M,Right,thumb,Obl,Easy
10__M_Right_thumb_finger_Zcut.BMP,10,M,Right,thumb,Zcut,Easy
110__F_Left_little_finger_CR.BMP,110,F,Left,little,CR,Easy
110__F_Left_little_finger_Obl.BMP,110,F,Left,little,Obl,Easy
110__F_Left_little_finger_Zcut.BMP,110,F,Left,little,Zcut,Easy
110__F_Left_middle_finger_CR.BMP,110,F,Left,middle,CR,Easy
110__F_Left_middle_finger_Obl.BMP,110,F,Left,middle,Obl,Easy
110__F_Left_middle_finger_Zcut.BMP,110,F,Left,middle,Zcut,Easy
110__F_Left_ring_finger_CR.BMP,110,F,Left,ring,CR,Easy
110__F_Left_ring_finger_Obl.BMP,110,F,Left,ring,Obl,Easy
110__F_Left_ring_finger_Zcut.BMP,110,F,Left,ring,Zcut,Easy
110__F_Left_thumb_finger_CR.BMP,110,F,Left,thumb,CR,Easy
110__F_Left_thumb_finger_Obl.BMP,110,F,Left,thumb,Obl,Easy
110__F_Left_thumb_finger_Zcut.BMP,110,F,Left,thumb,Zcut,Easy
110__F_Right_middle_finger_CR.BMP,110,F,Right,middle,CR,Easy
110__F_Right_middle_finger_Obl.BMP,110,F,Right,middle,Obl,Easy
110__F_Right_middle_finger_Zcut.BMP,110,F,Right,middle,Zcut,Easy
110__F_Right_thumb_finger_CR.BMP,110,F,Right,thumb,CR,Easy
110__F_Right_thumb_finger_Obl.BMP,110,F,Right,thumb,Obl,Easy
110__F_Right_thumb_finger_Zcut.BMP,110,F,Right,thumb,Zcut,Easy
111__M_Left_little_finger_CR.BMP,111,M,Left,little,CR,Easy
111__M_Left_little_finger_Obl.BMP,111,M,Left,little,Obl,Easy
111__M_Left_little_finger_Zcut.BMP,111,M,Left,little,Zcut,Easy
111__M_Left_ring_finger_CR.BMP,111,M,Left,ring,CR,Easy
111__M_Left_ring_finger_Obl.BMP,111,M,Left,ring,Obl,Easy
111__M_Left_ring_finger_Zcut.BMP,111,M,Left,ring,Zcut,Easy
111__M_Left_thumb_finger_CR.BMP,111,M,Left,thumb,CR,Easy
111__M_Left_thumb_finger_Obl.BMP,111,M,Left,thumb,Obl,Easy
111__M_Left_thumb_finger_Zcut.BMP,111,M,Left,thumb,Zcut,Easy
111__M_Right_index_finger_CR.BMP,111,M,Right,index,CR,Easy
111__M_Right_index_finger_Obl.BMP,111,M,Right,index,Obl,Easy
111__M_Right_index_finger_Zcut.BMP,111,M,Right,index,Zcut,Easy
111__M_Right_little_finger_CR.BMP,111,M,Right,little,CR,Easy
111__M_Right_little_finger_Obl.BMP,111,M,Right,little,Obl,Easy
111__M_Right_little_finger_Zcut.BMP,111,M,Right,little,Zcut,Easy
111__M_Right_ring_finger_CR.BMP,111,M,Right,ring,CR,Easy
111__M_Right_ring_finger_Obl.BMP,111,M,Right,ring,Obl,Easy
111__M_Right_ring_finger_Zcut.BMP,111,M,Right,ring,Zcut,Easy
112__M_Left_index_finger_CR.BMP,112,M,Left,index,CR,Easy
112__M_Left_index_finger_Obl.BMP,112,M,Left,index,Obl,Easy
112__M_Left_index_finger_Zcut.BMP,112,M,Left,index,Zcut,Easy
112__M_Left_little_finger_CR.BMP,112,M,Left,little,CR,Easy
112__M_Left_little_finger_Obl.BMP,112,M,Left,little,Obl,Easy
112__M_Left_little_finger_Zcut.BMP,112,M,Left,little,Zcut,Easy
112__M_Left_middle_finger_CR.BMP,112,M,Left,middle,CR,Easy
112__M_Left_middle_finger_Obl.BMP,112,M,Left,middle,Obl,Easy
112__M_Left_middle_finger_Zcut.BMP,112,M,Left,middle,Zcut,Easy
112__M_Left_ring_finger_CR.BMP,112,M,Left,ring,CR,Easy
112__M_Left_ring_finger_Obl.BMP,112,M,Left,ring,Obl,Easy
112__M_Left_ring_finger_Zcut.BMP,112,M,Left,ring,Zcut,Easy
112__M_Left_thumb_finger_CR.BMP,112,M,Left,thumb,CR,Easy
112__M_Left_thumb_finger_Obl.BMP,112,M,Left,thumb,Obl,Easy
112__M_Left_thumb_finger_Zcut.BMP,112,M,Left,thumb,Zcut,Easy
112__M_Right_index_finger_CR.BMP,112,M,Right,index,CR,Easy
112__M_Right_index_finger_Obl.BMP,112,M,Right,index,Obl,Easy
112__M_Right_index_finger_Zcut.BMP,112,M,Right,index,Zcut,Easy
112__M_Right_little_finger_CR.BMP,112,M,Right,little,CR,Easy
112__M_Right_little_finger_Obl.BMP,112,M,Right,little,Obl,Easy
112__M_Right_little_finger_Zcut.BMP,112,M,Right,little,Zcut,Easy
112__M_Right_middle_finger_CR.BMP,112,M,Right,middle,CR,Easy
112__M_Right_middle_finger_Obl.BMP,112,M,Right,middle,Obl,Easy
112__M_Right_middle_finger_Zcut.BMP,112,M,Right,middle,Zcut,Easy
112__M_Right_thumb_finger_CR.BMP,112,M,Right,thumb,CR,Easy
112__M_Right_thumb_finger_Obl.BMP,112,M,Right,thumb,Obl,Easy
112__M_Right_thumb_finger_Zcut.BMP,112,M,Right,thumb,Zcut,Easy
113__M_Left_index_finger_CR.BMP,113,M,Left,index,CR,Easy
113__M_Left_index_finger_Obl.BMP,113,M,Left,index,Obl,Easy
113__M_Left_index_finger_Zcut.BMP,113,M,Left,index,Zcut,Easy
113__M_Left_middle_finger_CR.BMP,113,M,Left,middle,CR,Easy
113__M_Left_middle_finger_Obl.BMP,113,M,Left,middle,Obl,Easy
113__M_Left_middle_finger_Zcut.BMP,113,M,Left,middle,Zcut,Easy
113__M_Left_ring_finger_CR.BMP,113,M,Left,ring,CR,Easy
113__M_Left_ring_finger_Obl.BMP,113,M,Left,ring,Obl,Easy
113__M_Left_ring_finger_Zcut.BMP,113,M,Left,ring,Zcut,Easy
113__M_Left_thumb_finger_CR.BMP,113,M,Left,thumb,CR,Easy
113__M_Left_thumb_finger_Obl.BMP,113,M,Left,thumb,Obl,Easy
113__M_Left_thumb_finger_Zcut.BMP,113,M,Left,thumb,Zcut,Easy
113__M_Right_index_finger_CR.BMP,113,M,Right,index,CR,Easy
113__M_Right_index_finger_Obl.BMP,113,M,Right,index,Obl,Easy
113__M_Right_index_finger_Zcut.BMP,113,M,Right,index,Zcut,Easy
113__M_Right_little_finger_CR.BMP,113,M,Right,little,CR,Easy
113__M_Right_little_finger_Obl.BMP,113,M,Right,little,Obl,Easy
113__M_Right_little_finger_Zcut.BMP,113,M,Right,little,Zcut,Easy
113__M_Right_ring_finger_CR.BMP,113,M,Right,ring,CR,Easy
113__M_Right_ring_finger_Obl.BMP,113,M,Right,ring,Obl,Easy
113__M_Right_ring_finger_Zcut.BMP,113,M,Right,ring,Zcut,Easy
114__F_Left_index_finger_CR.BMP,114,F,Left,index,CR,Easy
114__F_Left_index_finger_Obl.BMP,114,F,Left,index,Obl,Easy
114__F_Left_index_finger_Zcut.BMP,114,F,Left,index,Zcut,Easy
114__F_Left_little_finger_CR.BMP,114,F,Left,little,CR,Easy
114__F_Left_little_finger_Obl.BMP,114,F,Left,little,Obl,Easy
114__F_Left_little_finger_Zcut.BMP,114,F,Left,little,Zcut,Easy
114__F_Left_middle_finger_CR.BMP,114,F,Left,middle,CR,Easy
114__F_Left_middle_finger_Obl.BMP,114,F,Left,middle,Obl,Easy
114__F_Left_middle_finger_Zcut.BMP,114,F,Left,middle,Zcut,Easy
114__F_Left_ring_finger_CR.BMP,114,F,Left,ring,CR,Easy
114__F_Left_ring_finger_Obl.BMP,114,F,Left,ring,Obl,Easy
114__F_Left_ring_finger_Zcut.BMP,114,F,Left,ring,Zcut,Easy
114__F_Left_thumb_finger_CR.BMP,114,F,Left,thumb,CR,Easy
114__F_Left_thumb_finger_Obl.BMP,114,F,Left,thumb,Obl,Easy
114__F_Left_thumb_finger_Zcut.BMP,114,F,Left,thumb,Zcut,Easy
114__F_Right_index_finger_CR.BMP,114,F,Right,index,CR,Easy
114__F_Right_index_finger_Obl.BMP,114,F,Right,index,Obl,Easy
114__F_Right_index_finger_Zcut.BMP,114,F,Right,index,Zcut,Easy
114__F_Right_little_finger_CR.BMP,114,F,Right,little,CR,Easy
114__F_Right_little_finger_Obl.BMP,114,F,Right,little,Obl,Easy
114__F_Right_little_finger_Zcut.BMP,114,F,Right,little,Zcut,Easy
114__F_Right_middle_finger_CR.BMP,114,F,Right,middle,CR,Easy
114__F_Right_middle_finger_Obl.BMP,114,F,Right,middle,Obl,Easy
114__F_Right_middle_finger_Zcut.BMP,114,F,Right,middle,Zcut,Easy
