Image Name,Number,Gender,Hand,Finger,Alteration
109__F_Right_middle_finger_Obl.BMP,109,F,Right,middle,Obl
109__F_Right_ring_finger_CR.BMP,109,F,Right,ring,CR
109__F_Right_ring_finger_Obl.BMP,109,F,Right,ring,Obl
109__F_Right_ring_finger_Zcut.BMP,109,F,Right,ring,Zcut
109__F_Right_thumb_finger_CR.BMP,109,F,Right,thumb,CR
109__F_Right_thumb_finger_Obl.BMP,109,F,Right,thumb,Obl
109__F_Right_thumb_finger_Zcut.BMP,109,F,Right,thumb,Zcut
10__M_Left_index_finger_CR.BMP,10,M,Left,index,CR
10__M_Left_index_finger_Obl.BMP,10,M,Left,index,Obl
10__M_Left_index_finger_Zcut.BMP,10,M,Left,index,Zcut
10__M_Left_little_finger_CR.BMP,10,M,Left,little,CR
10__M_Left_little_finger_Obl.BMP,10,M,Left,little,Obl
10__M_Left_little_finger_Zcut.BMP,10,M,Left,little,Zcut
10__M_Left_middle_finger_CR.BMP,10,M,Left,middle,CR
10__M_Left_middle_finger_Obl.BMP,10,M,Left,middle,Obl
10__M_Left_middle_finger_Zcut.BMP,10,M,Left,middle,Zcut
10__M_Left_ring_finger_CR.BMP,10,M,Left,ring,CR
10__M_Left_ring_finger_Obl.BMP,10,M,Left,ring,Obl
10__M_Left_ring_finger_Zcut.BMP,10,M,Left,ring,Zcut
10__M_Left_thumb_finger_CR.BMP,10,M,Left,thumb,CR
10__M_Left_thumb_finger_Obl.BMP,10,M,Left,thumb,Obl
10__M_Left_thumb_finger_Zcut.BMP,10,M,Left,thumb,Zcut
10__M_Right_index_finger_CR.BMP,10,M,Right,index,CR
10__M_Right_index_finger_Obl.BMP,10,M,Right,index,Obl
10__M_Right_little_finger_Obl.BMP,10,M,Right,little,Obl
10__M_Right_little_finger_Zcut.BMP,10,M,Right,little,Zcut
10__M_Right_middle_finger_CR.BMP,10,M,Right,middle,CR
10__M_Right_middle_finger_Obl.BMP,10,M,Right,middle,Obl
10__M_Right_middle_finger_Zcut.BMP,10,M,Right,middle,Zcut
10__M_Right_ring_finger_Obl.BMP,10,M,Right,ring,Obl
10__M_Right_thumb_finger_CR.BMP,10,M,Right,thumb,CR
10__M_Right_thumb_finger_Obl.BMP,10,M,Right,thumb,Obl
110__F_Left_index_finger_CR.BMP,110,F,Left,index,CR
110__F_Left_index_finger_Obl.BMP,110,F,Left,index,Obl
110__F_Left_little_finger_CR.BMP,110,F,Left,little,CR
110__F_Left_little_finger_Obl.BMP,110,F,Left,little,Obl
110__F_Left_middle_finger_CR.BMP,110,F,Left,middle,CR
110__F_Left_middle_finger_Obl.BMP,110,F,Left,middle,Obl
110__F_Left_middle_finger_Zcut.BMP,110,F,Left,middle,Zcut
110__F_Left_ring_finger_CR.BMP,110,F,Left,ring,CR
110__F_Left_ring_finger_Obl.BMP,110,F,Left,ring,Obl
110__F_Left_thumb_finger_CR.BMP,110,F,Left,thumb,CR
110__F_Left_thumb_finger_Obl.BMP,110,F,Left,thumb,Obl
110__F_Left_thumb_finger_Zcut.BMP,110,F,Left,thumb,Zcut
110__F_Right_index_finger_CR.BMP,110,F,Right,index,CR
110__F_Right_index_finger_Obl.BMP,110,F,Right,index,Obl
110__F_Right_index_finger_Zcut.BMP,110,F,Right,index,Zcut
110__F_Right_little_finger_Obl.BMP,110,F,Right,little,Obl
110__F_Right_middle_finger_Obl.BMP,110,F,Right,middle,Obl
110__F_Right_ring_finger_CR.BMP,110,F,Right,ring,CR
110__F_Right_ring_finger_Obl.BMP,110,F,Right,ring,Obl
110__F_Right_ring_finger_Zcut.BMP,110,F,Right,ring,Zcut
110__F_Right_thumb_finger_CR.BMP,110,F,Right,thumb,CR
110__F_Right_thumb_finger_Obl.BMP,110,F,Right,thumb,Obl
110__F_Right_thumb_finger_Zcut.BMP,110,F,Right,thumb,Zcut
111__M_Left_index_finger_CR.BMP,111,M,Left,index,CR
111__M_Left_index_finger_Obl.BMP,111,M,Left,index,Obl
111__M_Left_index_finger_Zcut.BMP,111,M,Left,index,Zcut
111__M_Left_little_finger_Obl.BMP,111,M,Left,little,Obl
111__M_Left_little_finger_Zcut.BMP,111,M,Left,little,Zcut
111__M_Left_middle_finger_CR.BMP,111,M,Left,middle,CR
111__M_Left_middle_finger_Obl.BMP,111,M,Left,middle,Obl
111__M_Left_ring_finger_CR.BMP,111,M,Left,ring,CR
111__M_Left_ring_finger_Obl.BMP,111,M,Left,ring,Obl
111__M_Left_ring_finger_Zcut.BMP,111,M,Left,ring,Zcut
111__M_Left_thumb_finger_CR.BMP,111,M,Left,thumb,CR
111__M_Left_thumb_finger_Obl.BMP,111,M,Left,thumb,Obl
111__M_Right_index_finger_CR.BMP,111,M,Right,index,CR
111__M_Right_index_finger_Obl.BMP,111,M,Right,index,Obl
111__M_Right_index_finger_Zcut.BMP,111,M,Right,index,Zcut
111__M_Right_little_finger_CR.BMP,111,M,Right,little,CR
111__M_Right_little_finger_Obl.BMP,111,M,Right,little,Obl
111__M_Right_middle_finger_CR.BMP,111,M,Right,middle,CR
111__M_Right_middle_finger_Obl.BMP,111,M,Right,middle,Obl
111__M_Right_middle_finger_Zcut.BMP,111,M,Right,middle,Zcut
111__M_Right_ring_finger_CR.BMP,111,M,Right,ring,CR
111__M_Right_ring_finger_Obl.BMP,111,M,Right,ring,Obl
111__M_Right_ring_finger_Zcut.BMP,111,M,Right,ring,Zcut
111__M_Right_thumb_finger_CR.BMP,111,M,Right,thumb,CR
111__M_Right_thumb_finger_Obl.BMP,111,M,Right,thumb,Obl
114__F_Left_index_finger_CR.BMP,114,F,Left,index,CR
114__F_Left_index_finger_Obl.BMP,114,F,Left,index,Obl
114__F_Left_little_finger_CR.BMP,114,F,Left,little,CR
114__F_Left_little_finger_Obl.BMP,114,F,Left,little,Obl
114__F_Left_middle_finger_CR.BMP,114,F,Left,middle,CR
114__F_Left_middle_finger_Obl.BMP,114,F,Left,middle,Obl
114__F_Left_middle_finger_Zcut.BMP,114,F,Left,middle,Zcut
114__F_Left_ring_finger_CR.BMP,114,F,Left,ring,CR
114__F_Left_ring_finger_Obl.BMP,114,F,Left,ring,Obl
114__F_Left_thumb_finger_CR.BMP,114,F,Left,thumb,CR
114__F_Left_thumb_finger_Obl.BMP,114,F,Left,thumb,Obl
114__F_Left_thumb_finger_Zcut.BMP,114,F,Left,thumb,Zcut
114__F_Right_index_finger_Obl.BMP,114,F,Right,index,Obl
114__F_Right_little_finger_CR.BMP,114,F,Right,little,CR
114__F_Right_little_finger_Obl.BMP,114,F,Right,little,Obl
114__F_Right_little_finger_Zcut.BMP,114,F,Right,little,Zcut
114__F_Right_middle_finger_CR.BMP,114,F,Right,middle,CR
114__F_Right_middle_finger_Obl.BMP,114,F,Right,middle,Obl
114__F_Right_middle_finger_Zcut.BMP,114,F,Right,middle,Zcut
114__F_Right_ring_finger_CR.BMP,114,F,Right,ring,CR
114__F_Right_ring_finger_Obl.BMP,114,F,Right,ring,Obl
114__F_Right_ring_finger_Zcut.BMP,114,F,Right,ring,Zcut
114__F_Right_thumb_finger_CR.BMP,114,F,Right,thumb,CR
114__F_Right_thumb_finger_Obl.BMP,114,F,Right,thumb,Obl
114__F_Right_thumb_finger_Zcut.BMP,114,F,Right,thumb,Zcut
115__F_Left_index_finger_CR.BMP,115,F,Left,index,CR
115__F_Left_index_finger_Obl.BMP,115,F,Left,index,Obl
115__F_Left_little_finger_CR.BMP,115,F,Left,little,CR
115__F_Left_little_finger_Obl.BMP,115,F,Left,little,Obl
115__F_Left_middle_finger_CR.BMP,115,F,Left,middle,CR
115__F_Left_middle_finger_Obl.BMP,115,F,Left,middle,Obl
115__F_Left_ring_finger_CR.BMP,115,F,Left,ring,CR
115__F_Left_ring_finger_Obl.BMP,115,F,Left,ring,Obl
115__F_Left_ring_finger_Zcut.BMP,115,F,Left,ring,Zcut
115__F_Left_thumb_finger_CR.BMP,115,F,Left,thumb,CR
115__F_Left_thumb_finger_Obl.BMP,115,F,Left,thumb,Obl
115__F_Left_thumb_finger_Zcut.BMP,115,F,Left,thumb,Zcut
115__F_Right_index_finger_CR.BMP,115,F,Right,index,CR
115__F_Right_index_finger_Obl.BMP,115,F,Right,index,Obl
115__F_Right_index_finger_Zcut.BMP,115,F,Right,index,Zcut
115__F_Right_little_finger_CR.BMP,115,F,Right,little,CR
115__F_Right_little_finger_Obl.BMP,115,F,Right,little,Obl
115__F_Right_middle_finger_CR.BMP,115,F,Right,middle,CR
115__F_Right_middle_finger_Obl.BMP,115,F,Right,middle,Obl
115__F_Right_middle_finger_Zcut.BMP,115,F,Right,middle,Zcut
115__F_Right_ring_finger_CR.BMP,115,F,Right,ring,CR
115__F_Right_ring_finger_Obl.BMP,115,F,Right,ring,Obl
115__F_Right_thumb_finger_CR.BMP,115,F,Right,thumb,CR
115__F_Right_thumb_finger_Obl.BMP,115,F,Right,thumb,Obl
115__F_Right_thumb_finger_Zcut.BMP,115,F,Right,thumb,Zcut
117__F_Left_index_finger_CR.BMP,117,F,Left,index,CR
117__F_Left_index_finger_Obl.BMP,117,F,Left,index,Obl
117__F_Left_index_finger_Zcut.BMP,117,F,Left,index,Zcut
117__F_Left_little_finger_CR.BMP,117,F,Left,little,CR
117__F_Left_little_finger_Obl.BMP,117,F,Left,little,Obl
117__F_Left_middle_finger_Obl.BMP,117,F,Left,middle,Obl
117__F_Left_ring_finger_CR.BMP,117,F,Left,ring,CR
117__F_Left_ring_finger_Obl.BMP,117,F,Left,ring,Obl
117__F_Left_ring_finger_Zcut.BMP,117,F,Left,ring,Zcut
117__F_Left_thumb_finger_CR.BMP,117,F,Left,thumb,CR
117__F_Left_thumb_finger_Obl.BMP,117,F,Left,thumb,Obl
117__F_Left_thumb_finger_Zcut.BMP,117,F,Left,thumb,Zcut
117__F_Right_index_finger_Obl.BMP,117,F,Right,index,Obl
117__F_Right_little_finger_CR.BMP,117,F,Right,little,CR
117__F_Right_little_finger_Obl.BMP,117,F,Right,little,Obl
117__F_Right_middle_finger_Obl.BMP,117,F,Right,middle,Obl
117__F_Right_ring_finger_Obl.BMP,117,F,Right,ring,Obl
117__F_Right_thumb_finger_CR.BMP,117,F,Right,thumb,CR
117__F_Right_thumb_finger_Obl.BMP,117,F,Right,thumb,Obl
117__F_Right_thumb_finger_Zcut.BMP,117,F,Right,thumb,Zcut
118__F_Left_index_finger_CR.BMP,118,F,Left,index,CR
118__F_Left_index_finger_Obl.BMP,118,F,Left,index,Obl
118__F_Left_index_finger_Zcut.BMP,118,F,Left,index,Zcut
118__F_Left_little_finger_Obl.BMP,118,F,Left,little,Obl
118__F_Left_middle_finger_CR.BMP,118,F,Left,middle,CR
118__F_Left_middle_finger_Obl.BMP,118,F,Left,middle,Obl
118__F_Left_ring_finger_CR.BMP,118,F,Left,ring,CR
118__F_Left_ring_finger_Obl.BMP,118,F,Left,ring,Obl
118__F_Left_ring_finger_Zcut.BMP,118,F,Left,ring,Zcut
118__F_Left_thumb_finger_CR.BMP,118,F,Left,thumb,CR
118__F_Left_thumb_finger_Obl.BMP,118,F,Left,thumb,Obl
118__F_Right_index_finger_CR.BMP,118,F,Right,index,CR
118__F_Right_index_finger_Obl.BMP,118,F,Right,index,Obl
118__F_Right_little_finger_CR.BMP,118,F,Right,little,CR
118__F_Right_little_finger_Obl.BMP,118,F,Right,little,Obl
118__F_Right_little_finger_Zcut.BMP,118,F,Right,little,Zcut
118__F_Right_middle_finger_Obl.BMP,118,F,Right,middle,Obl
118__F_Right_middle_finger_Zcut.BMP,118,F,Right,middle,Zcut
118__F_Right_ring_finger_Obl.BMP,118,F,Right,ring,Obl
118__F_Right_thumb_finger_CR.BMP,118,F,Right,thumb,CR
118__F_Right_thumb_finger_Obl.BMP,118,F,Right,thumb,Obl
119__F_Left_index_finger_CR.BMP,119,F,Left,index,CR
119__F_Left_index_finger_Obl.BMP,119,F,Left,index,Obl
119__F_Left_little_finger_CR.BMP,119,F,Left,little,CR
119__F_Left_little_finger_Obl.BMP,119,F,Left,little,Obl
119__F_Left_little_finger_Zcut.BMP,119,F,Left,little,Zcut
119__F_Left_middle_finger_CR.BMP,119,F,Left,middle,CR
119__F_Left_middle_finger_Obl.BMP,119,F,Left,middle,Obl
119__F_Left_ring_finger_CR.BMP,119,F,Left,ring,CR
119__F_Left_ring_finger_Obl.BMP,119,F,Left,ring,Obl
119__F_Left_thumb_finger_CR.BMP,119,F,Left,thumb,CR
119__F_Left_thumb_finger_Obl.BMP,119,F,Left,thumb,Obl
119__F_Left_thumb_finger_Zcut.BMP,119,F,Left,thumb,Zcut
119__F_Right_index_finger_CR.BMP,119,F,Right,index,CR
119__F_Right_index_finger_Obl.BMP,119,F,Right,index,Obl
119__F_Right_little_finger_CR.BMP,119,F,Right,little,CR
119__F_Right_little_finger_Obl.BMP,119,F,Right,little,Obl
119__F_Right_middle_finger_Obl.BMP,119,F,Right,middle,Obl
119__F_Right_ring_finger_Obl.BMP,119,F,Right,ring,Obl
119__F_Right_thumb_finger_CR.BMP,119,F,Right,thumb,CR
119__F_Right_thumb_finger_Obl.BMP,119,F,Right,thumb,Obl
11__M_Left_index_finger_CR.BMP,11,M,Left,index,CR
11__M_Left_index_finger_Obl.BMP,11,M,Left,index,Obl
11__M_Left_little_finger_CR.BMP,11,M,Left,little,CR
11__M_Left_little_finger_Obl.BMP,11,M,Left,little,Obl
11__M_Left_middle_finger_CR.BMP,11,M,Left,middle,CR
11__M_Left_middle_finger_Obl.BMP,11,M,Left,middle,Obl
11__M_Left_ring_finger_CR.BMP,11,M,Left,ring,CR
11__M_Left_ring_finger_Obl.BMP,11,M,Left,ring,Obl
11__M_Left_ring_finger_Zcut.BMP,11,M,Left,ring,Zcut
11__M_Left_thumb_finger_CR.BMP,11,M,Left,thumb,CR
11__M_Left_thumb_finger_Obl.BMP,11,M,Left,thumb,Obl
11__M_Left_thumb_finger_Zcut.BMP,11,M,Left,thumb,Zcut
11__M_Right_index_finger_CR.BMP,11,M,Right,index,CR
11__M_Right_index_finger_Obl.BMP,11,M,Right,index,Obl
11__M_Right_index_finger_Zcut.BMP,11,M,Right,index,Zcut
11__M_Right_little_finger_CR.BMP,11,M,Right,little,CR
11__M_Right_little_finger_Obl.BMP,11,M,Right,little,Obl
11__M_Right_little_finger_Zcut.BMP,11,M,Right,little,Zcut
11__M_Right_middle_finger_CR.BMP,11,M,Right,middle,CR
11__M_Right_middle_finger_Obl.BMP,11,M,Right,middle,Obl
11__M_Right_middle_finger_Zcut.BMP,11,M,Right,middle,Zcut
11__M_Right_ring_finger_CR.BMP,11,M,Right,ring,CR
11__M_Right_ring_finger_Obl.BMP,11,M,Right,ring,Obl
11__M_Right_ring_finger_Zcut.BMP,11,M,Right,ring,Zcut
11__M_Right_thumb_finger_CR.BMP,11,M,Right,thumb,CR
11__M_Right_thumb_finger_Obl.BMP,11,M,Right,thumb,Obl
11__M_Right_thumb_finger_Zcut.BMP,11,M,Right,thumb,Zcut
125__M_Left_index_finger_CR.BMP,125,M,Left,index,CR
125__M_Left_index_finger_Obl.BMP,125,M,Left,index,Obl
125__M_Left_index_finger_Zcut.BMP,125,M,Left,index,Zcut
125__M_Left_little_finger_CR.BMP,125,M,Left,little,CR
125__M_Left_little_finger_Obl.BMP,125,M,Left,little,Obl
125__M_Left_little_finger_Zcut.BMP,125,M,Left,little,Zcut
125__M_Left_middle_finger_CR.BMP,125,M,Left,middle,CR
125__M_Left_middle_finger_Obl.BMP,125,M,Left,middle,Obl
125__M_Left_ring_finger_CR.BMP,125,M,Left,ring,CR
125__M_Left_ring_finger_Obl.BMP,125,M,Left,ring,Obl
125__M_Left_ring_finger_Zcut.BMP,125,M,Left,ring,Zcut
125__M_Left_thumb_finger_CR.BMP,125,M,Left,thumb,CR
125__M_Left_thumb_finger_Obl.BMP,125,M,Left,thumb,Obl
125__M_Right_index_finger_CR.BMP,125,M,Right,index,CR
125__M_Right_index_finger_Obl.BMP,125,M,Right,index,Obl
125__M_Right_little_finger_CR.BMP,125,M,Right,little,CR
125__M_Right_little_finger_Obl.BMP,125,M,Right,little,Obl
125__M_Right_middle_finger_CR.BMP,125,M,Right,middle,CR
125__M_Right_middle_finger_Obl.BMP,125,M,Right,middle,Obl
125__M_Right_middle_finger_Zcut.BMP,125,M,Right,middle,Zcut
125__M_Right_ring_finger_CR.BMP,125,M,Right,ring,CR
125__M_Right_ring_finger_Obl.BMP,125,M,Right,ring,Obl
125__M_Right_ring_finger_Zcut.BMP,125,M,Right,ring,Zcut
125__M_Right_thumb_finger_CR.BMP,125,M,Right,thumb,CR
125__M_Right_thumb_finger_Obl.BMP,125,M,Right,thumb,Obl
125__M_Right_thumb_finger_Zcut.BMP,125,M,Right,thumb,Zcut
127__F_Left_index_finger_Obl.BMP,127,F,Left,index,Obl
127__F_Left_little_finger_Obl.BMP,127,F,Left,little,Obl
127__F_Left_middle_finger_Obl.BMP,127,F,Left,middle,Obl
127__F_Left_ring_finger_Obl.BMP,127,F,Left,ring,Obl
127__F_Left_thumb_finger_Obl.BMP,127,F,Left,thumb,Obl
127__F_Right_index_finger_Obl.BMP,127,F,Right,index,Obl
127__F_Right_index_finger_Zcut.BMP,127,F,Right,index,Zcut
127__F_Right_little_finger_CR.BMP,127,F,Right,little,CR
127__F_Right_little_finger_Obl.BMP,127,F,Right,little,Obl
127__F_Right_little_finger_Zcut.BMP,127,F,Right,little,Zcut
127__F_Right_middle_finger_CR.BMP,127,F,Right,middle,CR
127__F_Right_middle_finger_Obl.BMP,127,F,Right,middle,Obl
127__F_Right_ring_finger_Obl.BMP,127,F,Right,ring,Obl
127__F_Right_thumb_finger_CR.BMP,127,F,Right,thumb,CR
127__F_Right_thumb_finger_Obl.BMP,127,F,Right,thumb,Obl
127__F_Right_thumb_finger_Zcut.BMP,127,F,Right,thumb,Zcut
12__M_Left_index_finger_CR.BMP,12,M,Left,index,CR
12__M_Left_index_finger_Obl.BMP,12,M,Left,index,Obl
12__M_Left_little_finger_CR.BMP,12,M,Left,little,CR
12__M_Left_little_finger_Obl.BMP,12,M,Left,little,Obl
12__M_Left_little_finger_Zcut.BMP,12,M,Left,little,Zcut
12__M_Left_middle_finger_Obl.BMP,12,M,Left,middle,Obl
12__M_Left_ring_finger_CR.BMP,12,M,Left,ring,CR
12__M_Left_ring_finger_Obl.BMP,12,M,Left,ring,Obl
12__M_Left_thumb_finger_CR.BMP,12,M,Left,thumb,CR
12__M_Left_thumb_finger_Obl.BMP,12,M,Left,thumb,Obl
12__M_Left_thumb_finger_Zcut.BMP,12,M,Left,thumb,Zcut
12__M_Right_index_finger_CR.BMP,12,M,Right,index,CR
12__M_Right_index_finger_Obl.BMP,12,M,Right,index,Obl
12__M_Right_little_finger_CR.BMP,12,M,Right,little,CR
12__M_Right_little_finger_Obl.BMP,12,M,Right,little,Obl
12__M_Right_middle_finger_CR.BMP,12,M,Right,middle,CR
12__M_Right_middle_finger_Obl.BMP,12,M,Right,middle,Obl
12__M_Right_ring_finger_CR.BMP,12,M,Right,ring,CR
12__M_Right_ring_finger_Obl.BMP,12,M,Right,ring,Obl
12__M_Right_thumb_finger_CR.BMP,12,M,Right,thumb,CR
12__M_Right_thumb_finger_Obl.BMP,12,M,Right,thumb,Obl
12__M_Right_thumb_finger_Zcut.BMP,12,M,Right,thumb,Zcut
132__M_Left_index_finger_CR.BMP,132,M,Left,index,CR
132__M_Left_index_finger_Obl.BMP,132,M,Left,index,Obl
132__M_Left_index_finger_Zcut.BMP,132,M,Left,index,Zcut
132__M_Left_little_finger_CR.BMP,132,M,Left,little,CR
132__M_Left_little_finger_Obl.BMP,132,M,Left,little,Obl
132__M_Left_little_finger_Zcut.BMP,132,M,Left,little,Zcut
132__M_Left_middle_finger_Obl.BMP,132,M,Left,middle,Obl
132__M_Left_ring_finger_CR.BMP,132,M,Left,ring,CR
132__M_Left_ring_finger_Obl.BMP,132,M,Left,ring,Obl
132__M_Left_ring_finger_Zcut.BMP,132,M,Left,ring,Zcut
132__M_Left_thumb_finger_CR.BMP,132,M,Left,thumb,CR
132__M_Left_thumb_finger_Obl.BMP,132,M,Left,thumb,Obl
132__M_Right_index_finger_CR.BMP,132,M,Right,index,CR
132__M_Right_index_finger_Obl.BMP,132,M,Right,index,Obl
132__M_Right_index_finger_Zcut.BMP,132,M,Right,index,Zcut
132__M_Right_little_finger_CR.BMP,132,M,Right,little,CR
132__M_Right_little_finger_Obl.BMP,132,M,Right,little,Obl
132__M_Right_middle_finger_CR.BMP,132,M,Right,middle,CR
132__M_Right_middle_finger_Obl.BMP,132,M,Right,middle,Obl
132__M_Right_ring_finger_CR.BMP,132,M,Right,ring,CR
132__M_Right_ring_finger_Obl.BMP,132,M,Right,ring,Obl
132__M_Right_thumb_finger_CR.BMP,132,M,Right,thumb,CR
132__M_Right_thumb_finger_Obl.BMP,132,M,Right,thumb,Obl
132__M_Right_thumb_finger_Zcut.BMP,132,M,Right,thumb,Zcut
133__M_Left_index_finger_CR.BMP,133,M,Left,index,CR
133__M_Left_index_finger_Obl.BMP,133,M,Left,index,Obl
133__M_Left_index_finger_Zcut.BMP,133,M,Left,index,Zcut
133__M_Left_little_finger_CR.BMP,133,M,Left,little,CR
133__M_Left_little_finger_Obl.BMP,133,M,Left,little,Obl
133__M_Left_little_finger_Zcut.BMP,133,M,Left,little,Zcut
133__M_Left_middle_finger_Obl.BMP,133,M,Left,middle,Obl
133__M_Left_middle_finger_Zcut.BMP,133,M,Left,middle,Zcut
133__M_Left_ring_finger_Obl.BMP,133,M,Left,ring,Obl
133__M_Left_thumb_finger_CR.BMP,133,M,Left,thumb,CR
133__M_Left_thumb_finger_Obl.BMP,133,M,Left,thumb,Obl
133__M_Left_thumb_finger_Zcut.BMP,133,M,Left,thumb,Zcut
133__M_Right_index_finger_Obl.BMP,133,M,Right,index,Obl
133__M_Right_little_finger_Obl.BMP,133,M,Right,little,Obl
133__M_Right_middle_finger_Obl.BMP,133,M,Right,middle,Obl
133__M_Right_ring_finger_CR.BMP,133,M,Right,ring,CR
133__M_Right_ring_finger_Obl.BMP,133,M,Right,ring,Obl
133__M_Right_ring_finger_Zcut.BMP,133,M,Right,ring,Zcut
133__M_Right_thumb_finger_Obl.BMP,133,M,Right,thumb,Obl
133__M_Right_thumb_finger_Zcut.BMP,133,M,Right,thumb,Zcut
136__F_Left_index_finger_Obl.BMP,136,F,Left,index,Obl
136__F_Left_little_finger_CR.BMP,136,F,Left,little,CR
136__F_Left_little_finger_Obl.BMP,136,F,Left,little,Obl
136__F_Left_little_finger_Zcut.BMP,136,F,Left,little,Zcut
136__F_Left_middle_finger_Obl.BMP,136,F,Left,middle,Obl
136__F_Left_ring_finger_CR.BMP,136,F,Left,ring,CR
136__F_Left_ring_finger_Obl.BMP,136,F,Left,ring,Obl
136__F_Left_thumb_finger_CR.BMP,136,F,Left,thumb,CR
136__F_Left_thumb_finger_Obl.BMP,136,F,Left,thumb,Obl
136__F_Right_index_finger_CR.BMP,136,F,Right,index,CR
136__F_Right_index_finger_Obl.BMP,136,F,Right,index,Obl
136__F_Right_index_finger_Zcut.BMP,136,F,Right,index,Zcut
136__F_Right_little_finger_CR.BMP,136,F,Right,little,CR
136__F_Right_little_finger_Obl.BMP,136,F,Right,little,Obl
